Timestamp,Which Dog?,Indicator Value,Time-Out,Time-In,Urine,Shit,Notes
3/2/2022 23:01:38,Both,"0_Braonin, 1_Siobhan",10:56:00 PM,11:01:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",Sm runny 
3/3/2022 1:41:22,Braonin,1_Braonin,1:30:00 AM,1:38:00 AM,1_Braonin,0_Braonin,
3/3/2022 14:01:28,Both,"0_Braonin, 0_Siobhan",1:52:00 AM,2:00:00 PM,"1_Braonin, 1_Siobhan","--------------------------, 0_Siobhan",
3/4/2022 11:02:33,Braonin,2_Braonin,10:43:00 AM,11:02:00 AM,0_Braonin,1_Braonin,Short play 
3/4/2022 14:04:33,Both,"0_Braonin, 2_Siobhan",1:30:00 PM,1:42:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
3/6/2022 9:57:02,Braonin,1_Braonin,8:30:00 AM,8:45:00 AM,1_Braonin,0_Braonin,Play
3/6/2022 9:59:56,Siobhan,0_Siobhan,8:45:00 AM,8:50:00 AM,1_Siobhan,1_Siobhan,
3/6/2022 13:59:27,Both,"1_Braonin, 1_Siobhan",1:23:00 PM,1:40:00 PM,"1_Braonin, 1_Siobhan","1_Braonin, 1_Siobhan",Some running
3/6/2022 17:38:23,Both,"1_Braonin, 1_Siobhan",5:25:00 PM,5:38:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",Sio diff 10
3/7/2022 11:08:49,Both,"1_Braonin, 1_Siobhan",8:30:00 AM,8:40:00 AM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
3/7/2022 11:11:06,Braonin,2_Braonin,10:56:00 AM,11:10:00 AM,1_Braonin,0_Siobhan,
3/7/2022 11:35:31,Both,"1_Braonin, 1_Siobhan",11:25:00 AM,11:35:00 AM,"1_Braonin, 0_Siobhan","0_Braonin, 1_Siobhan",
3/8/2022 10:26:27,Braonin,1_Braonin,10:14:00 AM,10:20:00 AM,1_Braonin,0_Braonin,
3/8/2022 10:54:19,Both,"1_Braonin, 0_Siobhan",10:40:00 AM,10:52:00 AM,"0_Braonin, 1_Siobhan","1_Braonin, 1_Siobhan",B short play 
3/8/2022 23:01:43,Braonin,2_Braonin,10:41:00 PM,11:00:00 PM,1_Braonin,1_Braonin,"Make sure a play time outside within past few days for a bit for both, also make sure there’s a screenshot from a bit ago. Both dogs. S both b piss. Also play "
3/10/2022 18:04:46,Both,"1_Braonin, 0_Siobhan",5:50:00 PM,6:03:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 0_Siobhan","Also twice earlier today. Once’s both at 9, both double success, both at 2 both for sio piss for B. Then now "
3/11/2022 16:20:20,Both,"2_Braonin, 2_Siobhan",4:06:00 PM,4:18:00 PM,"1_Braonin, 1_Siobhan","1_Braonin, 1_Siobhan","Also add times from earlier today. 8:30 b, piss. 9:15. Both. Sio double suc Br just shit. 11B piss, 11:40 S piss, then now for double success "
